山东航空,SC3038,空中客车 A320(中型),遥墙国际机场,18:10,太平国际机场T2,20:25,1,unknown,unknown,共享,¥792,经济舱5.0折
成都航空,EU2239,新支线 ARJ21(小型),遥墙国际机场,09:35,太平国际机场T2,11:40,1,unknown,unknown,noshare,¥794,经济舱5.0折
四川航空,3U8208,空中客车 A320(中型),遥墙国际机场,18:10,太平国际机场T2,20:25,1,unknown,unknown,noshare,¥800,经济舱5.0折
四川航空,3U1615,新支线 ARJ21(小型),遥墙国际机场,09:35,太平国际机场T2,11:40,1,unknown,unknown,共享,¥830,经济舱5.2折
北部湾航空,GX8925,空中客车 A320(中型),遥墙国际机场,16:10,太平国际机场T2,18:25,1,unknown,unknown,noshare,¥840,经济舱5.8折
四川航空,3U8689,空中客车 A319(中型),遥墙国际机场,09:50,太平国际机场T2,11:55,1,unknown,unknown,noshare,¥850,经济舱5.3折
华夏航空,G56612,空中客车 A319(中型),遥墙国际机场,09:50,太平国际机场T2,11:55,1,unknown,unknown,共享,¥853,经济舱5.3折
山东航空,SC3035,空中客车 A319(中型),遥墙国际机场,09:50,太平国际机场T2,11:55,1,unknown,unknown,共享,¥855,经济舱5.3折
南方航空,CZ4913,空中客车 A319(中型),遥墙国际机场,09:50,太平国际机场T2,11:55,1,unknown,unknown,共享,¥860,经济舱5.4折
海南航空,HU1825,空中客车 A320(中型),遥墙国际机场,16:10,太平国际机场T2,18:25,1,unknown,unknown,共享,¥880,经济舱5.5折
山东航空,SC4761,波音 737-800(中型),遥墙国际机场,11:30,太平国际机场T2,13:40,1,unknown,unknown,noshare,¥909,经济舱6.2折
华夏航空,G54761,波音 737-800(中型),遥墙国际机场,11:30,太平国际机场T2,13:40,1,unknown,unknown,共享,¥921,经济舱5.8折
中国国航,CA4761,波音 737-800(中型),遥墙国际机场,11:30,太平国际机场T2,13:40,1,unknown,unknown,共享,¥930,经济舱6.4折
四川航空,3U1003,波音 737-800(中型),遥墙国际机场,11:30,太平国际机场T2,13:40,1,unknown,unknown,共享,¥930,经济舱6.4折
昆明航空,KY8205,波音 737-800(中型),遥墙国际机场,13:10,太平国际机场T2,15:20,1,unknown,unknown,noshare,¥960,经济舱6.6折
西藏航空,TV6769,波音 737-800(中型),遥墙国际机场,11:30,太平国际机场T2,13:40,1,unknown,unknown,共享,¥967,经济舱6.0折
深圳航空,ZH3105,波音 737-800(中型),遥墙国际机场,13:10,太平国际机场T2,15:20,1,unknown,unknown,共享,¥992,经济舱6.8折
中国国航,CA5705,波音 737-800(中型),遥墙国际机场,13:10,太平国际机场T2,15:20,1,unknown,unknown,共享,¥1230,经济舱8.4折
南方航空 普通列车,南方航空 CZ6668 T297,,遥墙国际机场,18:15,哈尔滨东,02:23,3,长春,停留3h27m,noshare,¥640.5,硬座+经济舱
东方航空 高铁,东方航空 MU5279 G1245,,遥墙国际机场,14:25,哈尔滨西,19:07,3,长春,停留1h28m,noshare,¥659.5,二等座+经济舱
山东航空 高铁,山东航空 SC4767 G1201,,遥墙国际机场,17:15,哈尔滨西,21:54,3,长春,停留1h46m,noshare,¥768.5,二等座+经济舱
九元航空,AQ1039,全新737 舒适飞行,美兰国际机场,11:20,禄口国际机场T2,14:15,1,unknown,unknown,noshare,¥539,经济舱2.8折
首都航空,JD5335,空中客车 A320(中型),美兰国际机场,11:50,禄口国际机场T2,15:00,1,unknown,unknown,noshare,¥575,经济舱3.0折
深圳航空,ZH9594,空中客车 A320(中型),美兰国际机场,19:15,禄口国际机场T2,00:05,2,宜春,unknown,noshare,¥580,经济舱3.0折
昆明航空,KY9594,空中客车 A320(中型),美兰国际机场,19:15,禄口国际机场T2,00:05,2,宜春,unknown,共享,¥591,经济舱3.0折
海南航空,HU7091,波音 737-800(中型),美兰国际机场,17:40,禄口国际机场T2,20:35,1,unknown,unknown,noshare,¥675,经济舱3.5折
